domain,class_name,video_id,true_label,mean_fake_probability,number_of_frames
ffpp_validation,fake,01_21__walk_down_hall_angry__03X7CELV,1,0.4466162409633398,10
ffpp_validation,fake,01_27__walking_outside_cafe_disgusted__ZYCZ30C0,1,0.06263137757778167,10
ffpp_validation,fake,02_01__secret_conversation__YVGY8LOK,1,0.4536432972177863,10
ffpp_validation,fake,02_06__podium_speech_happy__N8OSN8P6,1,0.21254168823361397,10
ffpp_validation,fake,02_07__walking_and_outside_surprised__1VMZUH1W,1,0.2929065416799858,10
ffpp_validation,fake,02_13__outside_talking_pan_laughing__2YSYT2N3,1,0.17787710155826061,10
ffpp_validation,fake,02_15__talking_against_wall__HTG660F8,1,0.9730189442634583,10
ffpp_validation,fake,02_15__talking_angry_couch__HTG660F8,1,0.17268262580037116,10
ffpp_validation,fake,02_15__walking_and_outside_surprised__I8G2LWD1,1,0.11893915061373264,10
ffpp_validation,fake,02_15__walking_and_outside_surprised__MZWH8ATN,1,0.320477132871747,10
ffpp_validation,fake,03_09__secret_conversation__RCETIXYL,1,0.28466840758919715,10
ffpp_validation,fake,03_11__exit_phone_room__P08VGHTA,1,0.6598769903182984,10
ffpp_validation,fake,03_13__outside_talking_still_laughing__GBYWJW06,1,0.07734910440631211,10
ffpp_validation,fake,03_15__podium_speech_happy__DG8ITQO3,1,0.017537664459086954,10
ffpp_validation,fake,04_01__outside_talking_still_laughing__6I623VU9,1,0.02247141217812896,10
ffpp_validation,fake,05_08__talking_against_wall__PRBCE28Z,1,0.9955572187900543,10
ffpp_validation,fake,05_17__walking_down_street_outside_angry__M3H96PDQ,1,0.31408186107873914,10
ffpp_validation,fake,06_07__kitchen_pan__NMGYPBXE,1,0.4705037085339427,10
ffpp_validation,fake,06_12__outside_talking_pan_laughing__3K21NFNM,1,0.07311890558339655,10
ffpp_validation,fake,06_14__walking_and_outside_surprised__8U9ULZDT,1,0.04410475264303386,10
ffpp_validation,fake,06_15__exit_phone_room__QRCD27P8,1,0.7558140106499195,10
ffpp_validation,fake,06_25__outside_talking_pan_laughing__MI9BDQ7M,1,0.2650388597510755,10
ffpp_validation,fake,06_27__talking_angry_couch__JOG5PB18,1,0.3734400547109544,10
ffpp_validation,fake,07_03__hugging_happy__7NGMD8FT,1,0.6140616536140442,10
ffpp_validation,fake,07_21__exit_phone_room__K7KXUHMU,1,0.7772765189409256,10
ffpp_validation,fake,07_21__talking_against_wall__MKU99DVX,1,0.7861066639423371,10
ffpp_validation,fake,09_02__walk_down_hall_angry__6KUOFMZW,1,0.31178993117064235,10
ffpp_validation,fake,09_02__walking_down_street_outside_angry__9TDCEK1Q,1,0.8040955625474453,10
ffpp_validation,fake,09_03__talking_against_wall__8DTEGQ54,1,0.9979373753070832,10
ffpp_validation,fake,09_13__kitchen_pan__21H6XSPE,1,0.8152116306126118,10
ffpp_validation,real,01__hugging_happy,0,0.04427978394087404,10
ffpp_validation,real,01__walk_down_hall_angry,0,0.13596769641153514,10
ffpp_validation,real,02__hugging_happy,0,0.002545319579076022,10
ffpp_validation,real,02__meeting_serious,0,0.41003525294363496,10
ffpp_validation,real,02__secret_conversation,0,0.09141525825252757,10
ffpp_validation,real,02__walking_outside_cafe_disgusted,0,0.061809365508250065,9
ffpp_validation,real,03__podium_speech_happy,0,0.009260934288613498,10
ffpp_validation,real,03__secret_conversation,0,0.2662111271172762,10
ffpp_validation,real,04__kitchen_pan,0,0.012439582496881485,8
ffpp_validation,real,04__walking_down_street_outside_angry,0,0.18941215896565053,9
ffpp_validation,real,05__talking_against_wall,0,0.03925414523109794,10
ffpp_validation,real,06__exit_phone_room,0,0.07835861494531855,10
ffpp_validation,real,06__outside_talking_pan_laughing,0,0.011105996294645593,8
ffpp_validation,real,07__hugging_happy,0,0.09611582592478954,10
ffpp_validation,real,07__kitchen_pan,0,0.020386220964913566,9
ffpp_validation,real,07__kitchen_still,0,0.004961064318194985,10
ffpp_validation,real,07__podium_speech_happy,0,0.017028515925630927,10
ffpp_validation,real,07__secret_conversation,0,0.047128082858398555,10
ffpp_validation,real,07__walking_down_street_outside_angry,0,0.13780101756565272,10
ffpp_validation,real,07__walking_outside_cafe_disgusted,0,0.10527227034326643,10
ffpp_validation,real,10__exit_phone_room,0,0.018190069915726782,10
ffpp_validation,real,11__walk_down_hall_angry,0,0.17976046203532153,9
ffpp_validation,real,12__hugging_happy,0,0.09656205363571643,10
ffpp_validation,real,12__walk_down_hall_angry,0,0.07126044109463692,8
ffpp_validation,real,12__walking_down_indoor_hall_disgust,0,0.05081488275900483,10
ffpp_validation,real,13__walking_down_street_outside_angry,0,0.10216811013815459,10
ffpp_validation,real,14__walking_and_outside_surprised,0,0.008336028503254055,10
ffpp_validation,real,14__walking_down_indoor_hall_disgust,0,0.030980824236758055,10
ffpp_validation,real,15__exit_phone_room,0,0.3117314324714243,10
